"SUBJECT","LOCATION","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"LOLITOAA","USA","M","2011-06","IDX","0",,99.73845,
"LOLITOAA","USA","M","2011-07","IDX","0",,99.43954,
"LOLITOAA","USA","M","2011-08","IDX","0",,99.18961,
"LOLITOAA","USA","M","2011-09","IDX","0",,99.05982,
"LOLITOAA","USA","M","2011-10","IDX","0",,99.08298,
"LOLITOAA","USA","M","2011-11","IDX","0",,99.23521,
"LOLITOAA","USA","M","2011-12","IDX","0",,99.46138,
"LOLITOAA","USA","M","2012-01","IDX","0",,99.68711,
"LOLITOAA","USA","M","2012-02","IDX","0",,99.84805,
"LOLITOAA","USA","M","2012-03","IDX","0",,99.91734,
"LOLITOAA","USA","M","2012-04","IDX","0",,99.89857,
"LOLITOAA","USA","M","2012-05","IDX","0",,99.81327,
"LOLITOAA","USA","M","2012-06","IDX","0",,99.70155,
"LOLITOAA","USA","M","2012-07","IDX","0",,99.61653,
"LOLITOAA","USA","M","2012-08","IDX","0",,99.5836,
"LOLITOAA","USA","M","2012-09","IDX","0",,99.61578,
"LOLITOAA","USA","M","2012-10","IDX","0",,99.68896,
