"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-11","Nov-2008","IDX","Index","0","Units",,,97.17825,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2008-12","Dec-2008","IDX","Index","0","Units",,,96.28482,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-01","Jan-2009","IDX","Index","0","Units",,,96.0172,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-02","Feb-2009","IDX","Index","0","Units",,,96.24491,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-03","Mar-2009","IDX","Index","0","Units",,,96.84283,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-04","Apr-2009","IDX","Index","0","Units",,,97.53862,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-05","May-2009","IDX","Index","0","Units",,,98.103,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-06","Jun-2009","IDX","Index","0","Units",,,98.51735,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-07","Jul-2009","IDX","Index","0","Units",,,98.85973,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-08","Aug-2009","IDX","Index","0","Units",,,99.22839,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-09","Sep-2009","IDX","Index","0","Units",,,99.51195,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-10","Oct-2009","IDX","Index","0","Units",,,99.6589,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-11","Nov-2009","IDX","Index","0","Units",,,99.73186,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2009-12","Dec-2009","IDX","Index","0","Units",,,99.91074,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-01","Jan-2010","IDX","Index","0","Units",,,100.2321,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-02","Feb-2010","IDX","Index","0","Units",,,100.5606,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-03","Mar-2010","IDX","Index","0","Units",,,100.7927,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-04","Apr-2010","IDX","Index","0","Units",,,100.9415,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-05","May-2010","IDX","Index","0","Units",,,100.9796,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-06","Jun-2010","IDX","Index","0","Units",,,100.8778,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-07","Jul-2010","IDX","Index","0","Units",,,100.7172,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-08","Aug-2010","IDX","Index","0","Units",,,100.5285,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-09","Sep-2010","IDX","Index","0","Units",,,100.3024,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-10","Oct-2010","IDX","Index","0","Units",,,100.1402,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-11","Nov-2010","IDX","Index","0","Units",,,100.1056,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2010-12","Dec-2010","IDX","Index","0","Units",,,100.1605,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-01","Jan-2011","IDX","Index","0","Units",,,100.2756,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-02","Feb-2011","IDX","Index","0","Units",,,100.4126,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-03","Mar-2011","IDX","Index","0","Units",,,100.5217,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-04","Apr-2011","IDX","Index","0","Units",,,100.5549,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-05","May-2011","IDX","Index","0","Units",,,100.3944,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-06","Jun-2011","IDX","Index","0","Units",,,100.1572,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-07","Jul-2011","IDX","Index","0","Units",,,99.9425,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-08","Aug-2011","IDX","Index","0","Units",,,99.7689,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-09","Sep-2011","IDX","Index","0","Units",,,99.63886,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-10","Oct-2011","IDX","Index","0","Units",,,99.44954,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-11","Nov-2011","IDX","Index","0","Units",,,99.23544,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2011-12","Dec-2011","IDX","Index","0","Units",,,99.09499,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-01","Jan-2012","IDX","Index","0","Units",,,99.06679,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-02","Feb-2012","IDX","Index","0","Units",,,99.19503,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-03","Mar-2012","IDX","Index","0","Units",,,99.33246,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-04","Apr-2012","IDX","Index","0","Units",,,99.38748,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-05","May-2012","IDX","Index","0","Units",,,99.29936,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-06","Jun-2012","IDX","Index","0","Units",,,99.09583,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-07","Jul-2012","IDX","Index","0","Units",,,98.83097,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-08","Aug-2012","IDX","Index","0","Units",,,98.63876,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-09","Sep-2012","IDX","Index","0","Units",,,98.47225,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-10","Oct-2012","IDX","Index","0","Units",,,98.37099,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-11","Nov-2012","IDX","Index","0","Units",,,98.32716,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","KOR","Korea","M","Monthly","2012-12","Dec-2012","IDX","Index","0","Units",,,98.38685,,
