일차,출발시간,소요시간,날짜
0,21,192,2017-01-26
1,21,100,2017-01-27
2,21,128,2017-01-28
3,21,98,2017-01-29
4,21,84,2017-01-30
0,22,212,2017-01-26
1,22,94,2017-01-27
2,22,115,2017-01-28
3,22,90,2017-01-29
4,22,86,2017-01-30
0,23,207,2017-01-26
1,23,90,2017-01-27
2,23,108,2017-01-28
3,23,93,2017-01-29
4,23,85,2017-01-30
0,0,91,2018-02-14
1,0,123,2018-02-15
2,0,76,2018-02-16
3,0,86,2018-02-17
4,0,76,2018-02-18
0,1,87,2018-02-14
1,1,135,2018-02-15
2,1,87,2018-02-16
3,1,84,2018-02-17
4,1,86,2018-02-18
0,2,88,2018-02-14
1,2,133,2018-02-15
2,2,90,2018-02-16
3,2,83,2018-02-17
4,2,75,2018-02-18
0,3,90,2018-02-14
1,3,146,2018-02-15
2,3,85,2018-02-16
3,3,89,2018-02-17
4,3,91,2018-02-18
0,4,86,2018-02-14
1,4,138,2018-02-15
2,4,82,2018-02-16
3,4,82,2018-02-17
4,4,87,2018-02-18
0,5,86,2018-02-14
1,5,131,2018-02-15
2,5,85,2018-02-16
3,5,82,2018-02-17
4,5,85,2018-02-18
0,6,86,2018-02-14
1,6,143,2018-02-15
2,6,101,2018-02-16
3,6,86,2018-02-17
4,6,84,2018-02-18
0,7,83,2018-02-14
1,7,163,2018-02-15
2,7,92,2018-02-16
3,7,79,2018-02-17
4,7,82,2018-02-18
0,8,85,2018-02-14
1,8,145,2018-02-15
2,8,94,2018-02-16
3,8,80,2018-02-17
4,8,80,2018-02-18
0,9,87,2018-02-14
1,9,156,2018-02-15
2,9,97,2018-02-16
3,9,81,2018-02-17
4,9,80,2018-02-18
0,10,87,2018-02-14
1,10,166,2018-02-15
2,10,95,2018-02-16
3,10,84,2018-02-17
4,10,80,2018-02-18
0,11,91,2018-02-14
1,11,191,2018-02-15
2,11,98,2018-02-16
3,11,83,2018-02-17
4,11,81,2018-02-18
0,12,103,2018-02-14
1,12,205,2018-02-15
2,12,107,2018-02-16
