"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2001년 8월","1,805.43","2,051.56","2,102.53","1,777.11","-","-10.94%"
"2001년 7월","2,027.13","2,156.76","2,181.05","1,934.67","-","-6.21%"
"2001년 6월","2,161.24","2,131.12","2,264.58","1,973.70","-","2.40%"
"2001년 5월","2,110.49","2,116.24","2,328.05","2,052.41","-","-0.27%"
"2001년 4월","2,116.24","1,835.22","2,202.86","1,619.58","-","15.00%"
"2001년 3월","1,840.26","2,126.30","2,243.78","1,794.21","-","-14.48%"
"2001년 2월","2,151.83","2,771.57","2,796.89","2,127.50","-","-22.39%"
"2001년 1월","2,772.73","2,474.16","2,892.36","2,251.71","-","12.23%"
"2000년 12월","2,470.52","2,644.09","3,028.75","2,288.16","-","-4.90%"
"2000년 11월","2,597.93","3,316.51","3,480.01","2,523.04","-","-22.90%"
"2000년 10월","3,369.63","3,714.48","3,714.48","3,026.11","-","-8.25%"
"2000년 9월","3,672.82","4,252.15","4,259.87","3,614.66","-","-12.68%"
"2000년 8월","4,206.35","3,760.95","4,208.73","3,521.14","-","11.66%"
"2000년 7월","3,766.99","3,950.59","4,289.06","3,615.79","-","-5.02%"
"2000년 6월","3,966.11","3,471.95","4,073.73","3,400.91","-","16.62%"
"2000년 5월","3,400.91","3,930.18","3,982.38","3,042.66","-","-11.91%"
"2000년 4월","3,860.66","4,494.89","4,572.84","3,227.04","-","-15.57%"
"2000년 3월","4,572.83","4,732.82","5,132.52","4,355.69","-","-2.64%"
"2000년 2월","4,696.69","3,961.07","4,698.46","3,911.84","-","19.19%"
"2000년 1월","3,940.35","4,186.19","4,303.15","3,711.09","-","-3.17%"
