"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2006년 8월","70.26","74.40","77.45","68.65","2.05M","-5.56%"
"2006년 7월","74.40","73.95","78.40","71.65","1.82M","0.64%"
"2006년 6월","73.93","71.26","74.15","68.10","2.28M","3.70%"
"2006년 5월","71.29","71.70","74.99","67.42","2.46M","-0.82%"
"2006년 4월","71.88","66.25","75.35","65.60","2.07M","7.88%"
"2006년 3월","66.63","61.58","67.30","59.25","2.30M","8.50%"
"2006년 2월","61.41","67.80","69.00","57.55","2.26M","-9.58%"
"2006년 1월","67.92","61.04","69.20","60.81","2.15M","11.27%"
"2005년 12월","61.04","57.40","61.90","56.90","1.84M","6.49%"
"2005년 11월","57.32","59.76","62.15","55.40","1.90M","-4.08%"
"2005년 10월","59.76","66.20","66.62","59.15","1.93M","-9.78%"
"2005년 9월","66.24","68.75","69.66","62.55","2.17M","-3.92%"
"2005년 8월","68.94","60.51","70.85","60.51","2.43M","13.82%"
"2005년 7월","60.57","56.56","62.10","56.10","1.97M","7.20%"
"2005년 6월","56.50","51.95","60.95","51.93","2.18M","8.72%"
"2005년 5월","51.97","49.28","53.10","46.20","2.06M","4.53%"
"2005년 4월","49.72","55.25","58.28","49.50","2.10M","-10.25%"
"2005년 3월","55.40","51.77","57.60","50.65","2.12M","7.05%"
"2005년 2월","51.75","48.21","52.28","44.60","1.59M","7.37%"
"2005년 1월","48.20","43.10","49.75","41.25","1.84M","10.93%"
"2004년 12월","43.45","49.07","49.12","40.25","1.85M","-11.56%"
"2004년 11월","49.13","51.82","52.50","45.25","1.81M","-5.08%"
"2004년 10월","51.76","49.64","55.67","49.20","2.08M","4.27%"
"2004년 9월","49.64","42.11","50.47","42.11","2.04M","17.85%"
"2004년 8월","42.12","43.69","49.40","41.30","2.23M","-3.84%"
"2004년 7월","43.80","37.05","43.85","36.69","1.75M","18.22%"
"2004년 6월","37.05","40.40","42.45","35.52","1.95M","-7.10%"
"2004년 5월","39.88","37.39","41.85","37.25","1.89M","6.69%"
"2004년 4월","37.38","35.82","38.30","33.30","1.97M","4.53%"
"2004년 3월","35.76","36.16","38.50","34.75","2.00M","-1.11%"
"2004년 2월","36.16","33.20","36.23","32.20","1.64M","9.41%"
"2004년 1월","33.05","32.40","36.37","32.27","1.83M","1.63%"
"2003년 12월","32.52","30.26","33.93","29.66","1.55M","6.94%"
"2003년 11월","30.41","29.13","33.55","28.47","1.57M","4.47%"
"2003년 10월","29.11","29.15","32.60","28.26","1.73M","-0.31%"
"2003년 9월","29.20","31.28","31.40","26.65","1.65M","-7.51%"
"2003년 8월","31.57","30.58","32.85","30.10","1.66M","3.37%"
"2003년 7월","30.54","30.12","32.10","29.17","1.53M","1.16%"
"2003년 6월","30.19","29.49","32.50","28.53","1.53M","2.13%"
"2003년 5월","29.56","25.95","29.65","25.42","1.63M","14.57%"
"2003년 4월","25.80","31.16","31.32","25.04","1.48M","-16.88%"
"2003년 3월","31.04","36.45","38.20","26.30","1.58M","-15.19%"
"2003년 2월","36.60","33.33","39.99","32.55","1.71M","9.22%"
"2003년 1월","33.51","31.60","35.20","29.75","1.89M","7.40%"
"2002년 12월","31.20","26.90","33.65","26.57","1.63M","16.03%"
"2002년 11월","26.89","27.20","27.56","24.82","1.56M","-1.21%"
"2002년 10월","27.22","30.45","31.18","26.53","1.87M","-10.61%"
"2002년 9월","30.45","29.00","31.39","27.62","1.48M","5.07%"
"2002년 8월","28.98","27.00","30.32","26.00","1.77M","7.25%"
"2002년 7월","27.02","26.89","28.10","25.73","1.59M","0.60%"
"2002년 6월","26.86","25.26","27.05","23.80","1.52M","6.12%"
"2002년 5월","25.31","27.25","29.54","24.40","1.88M","-7.26%"
"2002년 4월","27.29","26.46","28.35","23.31","1.80M","3.72%"
"2002년 3월","26.31","21.80","26.38","21.62","1.57M","21.02%"
"2002년 2월","21.74","19.47","21.85","19.09","1.46M","11.60%"
"2002년 1월","19.48","19.90","22.00","17.85","1.53M","-1.81%"
"2001년 12월","19.84","19.40","21.50","17.80","1.20M","2.06%"
"2001년 11월","19.44","21.26","22.62","16.70","1.54M","-8.22%"
"2001년 10월","21.18","23.50","23.98","20.80","1.36M","-9.60%"
"2001년 9월","23.43","27.17","29.98","20.30","1.20M","-13.86%"
"2001년 8월","27.20","26.35","28.42","26.28","1.48M","3.23%"
"2001년 7월","26.35","26.31","28.29","24.54","1.39M","0.38%"
"2001년 6월","26.25","28.48","29.63","25.10","1.50M","-7.47%"
"2001년 5월","28.37","28.43","30.20","27.05","1.29M","-0.32%"
"2001년 4월","28.46","26.35","29.04","25.49","1.26M","8.25%"
"2001년 3월","26.29","27.41","29.15","25.70","1.47M","-4.02%"
"2001년 2월","27.39","28.70","31.87","27.36","1.34M","-4.43%"
"2001년 1월","28.66","26.90","32.70","26.65","1.37M","6.94%"
"2000년 12월","26.80","33.76","34.15","25.58","1.22M","-20.76%"
"2000년 11월","33.82","32.69","35.84","32.10","1.29M","3.43%"
"2000년 10월","32.70","30.97","37.00","30.19","1.42M","6.03%"
"2000년 9월","30.84","33.00","37.80","30.20","1.59M","-6.88%"
"2000년 8월","33.12","27.36","33.70","27.26","1.44M","20.74%"
"2000년 7월","27.43","31.15","32.35","27.35","1.30M","-15.60%"
"2000년 6월","32.50","29.00","33.40","28.87","1.48M","12.03%"
"2000년 5월","29.01","25.55","30.82","25.52","1.30M","12.70%"
"2000년 4월","25.74","26.85","27.50","23.70","1.13M","-4.31%"
"2000년 3월","26.90","30.49","34.37","26.05","1.48M","-11.60%"
"2000년 2월","30.43","27.60","30.83","27.41","1.33M","10.09%"
"2000년 1월","27.64","25.20","29.95","24.02","1.45M","7.97%"
