날짜,종가,오픈,고가,저가,변동 %
2019년 3월,13.71,14.57,18.33,12.37,-7.24%
2019년 4월,13.12,13.9,14.39,11.03,-4.30%
2019년 5월,18.71,12.86,23.38,12.74,42.61%
2019년 6월,15.08,19.41,19.75,13.19,-19.40%
2019년 7월,16.12,13.85,16.55,11.69,6.90%
2019년 8월,18.98,15.41,24.81,13.73,17.74%
2019년 9월,16.24,20.96,21.15,13.31,-14.44%
2019년 10월,13.22,16.02,21.46,12.19,-18.60%
2019년 11월,12.62,12.99,14.17,11.42,-4.54%
2019년 12월,13.78,12.69,17.99,11.71,9.19%
2020년 1월,18.84,13.46,19.99,11.75,36.72%
2020년 2월,40.11,18.64,49.48,13.38,112.90%
2020년 3월,53.54,34.86,85.47,24.93,33.48%
2020년 4월,34.15,57.38,60.59,30.54,-36.22%
2020년 5월,27.51,38.17,40.32,25.92,-19.44%
2020년 6월,30.43,28.94,44.44,23.54,10.61%
2020년 7월,24.46,30.96,33.67,23.55,-19.62%
2020년 8월,26.41,25.75,27.09,20.28,7.97%
2020년 9월,26.37,25.86,38.28,24.84,-0.15%
2020년 10월,38.02,25.78,41.16,24.03,44.18%
2020년 11월,20.57,38.57,38.78,19.51,-45.90%
2020년 12월,22.75,20.21,31.46,19.97,10.60%
2021년 1월,33.09,23.04,37.51,21.09,45.45%
2021년 2월,27.95,31.45,33.96,19.69,-15.53%
2021년 3월,19.4,25.2,31.9,18.68,-30.59%
2021년 4월,18.61,18.6,19.9,15.38,-4.07%
2021년 5월,16.76,18.65,28.93,15.9,-9.94%
2021년 6월,15.83,17.24,21.82,14.1,-5.55%
2021년 7월,18.24,15.62,25.09,14.25,15.22%
2021년 8월,16.48,18.16,24.74,15.19,-9.65%
2021년 9월,23.14,16.06,28.79,15.68,40.41%
2021년 10월,16.26,24.78,24.89,14.84,-29.73%
2021년 11월,27.19,16.85,28.99,14.73,67.22%
2021년 12월,17.22,24.92,35.32,16.62,-36.67%
2022년 1월,24.83,17.6,38.94,16.34,44.19%
2022년 2월,30.15,24.57,37.79,19.93,21.43%
2022년 3월,20.56,29.45,37.52,18.67,-31.81%
2022년 4월,33.4,20.62,34.34,18.45,62.45%
2022년 5월,26.19,33.35,36.64,24.94,-21.59%
2022년 6월,24.72,26.05,27.73,24.33,-5.61%
