년도,분기,행정동,운영평균,폐업평균,서울운영평균,서울시폐업평균
2019,3,둔촌2동,109,49,109,53
2019,3,둔촌1동,152,69,109,53
2019,3,길동,102,47,109,53
2019,3,성내3동,108,47,109,53
2019,3,성내3동,108,46,106,52
2019,3,성내2동,101,47,109,53
2019,3,성내1동,107,51,109,53
2019,3,천호3동,106,49,109,53
2019,3,천호3동,106,48,106,52
2019,3,천호2동,105,51,109,53
2019,3,천호1동,101,49,109,53
2019,3,암사3동,98,54,109,53
2019,3,암사2동,105,50,109,53
2019,3,암사1동,99,48,109,53
2019,3,고덕2동,125,59,109,53
2019,3,고덕1동,87,51,109,53
2019,3,명일2동,108,54,109,53
2019,3,명일2동,109,54,106,52
2019,3,명일1동,108,49,109,53
2019,3,명일1동,109,49,106,52
2019,3,상일동,116,57,109,53
2019,3,강일동,73,43,109,53
2019,3,잠실7동,140,70,109,53
2019,3,잠실6동,99,56,109,53
2019,3,잠실4동,93,48,109,53
2019,3,잠실3동,116,64,109,53
2019,3,잠실2동,79,41,109,53
2019,3,잠실본동,107,49,109,53
2019,3,위례동,30,28,109,53
2019,3,장지동,98,48,109,53
2019,3,문정2동,66,40,109,53
2019,3,문정1동,104,50,109,53
2019,3,가락2동,110,50,109,53
2019,3,가락1동,91,66,106,52
2019,3,가락1동,170,147,109,53
2019,3,가락본동,104,47,109,53
2019,3,삼전동,103,48,109,53
2019,3,석촌동,105,49,109,53
2019,3,송파2동,103,49,109,53
2019,3,송파1동,102,48,109,53
2019,3,오금동,109,53,109,53
2019,3,오륜동,130,64,109,53
2019,3,방이2동,105,50,109,53
2019,3,방이1동,100,49,109,53
2019,3,마천2동,119,54,109,53
2019,3,마천1동,115,51,109,53
2019,3,거여2동,114,57,109,53
2019,3,거여1동,101,49,109,53
2019,3,풍납2동,122,55,109,53
2019,3,풍납1동,126,55,109,53
2019,3,수서동,118,58,109,53
2019,3,일원2동,116,56,109,53
2019,3,일원1동,112,54,109,53
2019,3,일원본동,104,50,109,53
2019,3,세곡동,64,48,109,53
2019,3,개포4동,121,52,109,53
2019,3,개포2동,117,56,109,53
2019,3,개포1동,121,67,109,53
2019,3,도곡2동,105,51,106,52
2019,3,도곡2동,111,52,109,53
2019,3,도곡1동,105,50,109,53
2019,3,역삼2동,98,47,109,53
2019,3,역삼1동,96,47,109,53
2019,3,대치4동,89,47,109,53
2019,3,대치2동,107,52,109,53
2019,3,대치2동,105,52,106,52
2019,3,대치1동,105,52,109,53
2019,3,대치1동,105,52,106,52
2019,3,삼성2동,98,49,109,53
2019,3,삼성1동,109,56,109,53
2019,3,청담동,99,50,109,53
2019,3,압구정동,106,49,109,53
2019,3,논현2동,98,49,109,53
2019,3,논현1동,100,48,109,53
2019,3,신사동,97,50,109,53
2019,3,내곡동,99,59,106,52
2019,3,내곡동,116,63,109,53
2019,3,양재2동,125,51,109,53
2019,3,양재1동,108,53,109,53
2019,3,방배4동,120,54,109,53
2019,3,방배3동,129,54,109,53
2019,3,방배2동,106,55,109,53
2019,3,방배1동,112,53,109,53
2019,3,방배본동,114,51,109,53
2019,3,반포4동,136,63,109,53
2019,3,반포3동,123,59,109,53
2019,3,반포2동,119,66,109,53
2019,3,반포1동,105,46,109,53
2019,3,반포본동,130,58,109,53
2019,3,잠원동,110,51,109,53
2019,3,서초4동,103,49,106,52
2019,3,서초4동,111,52,109,53
2019,3,서초3동,111,51,106,52
2019,3,서초3동,118,54,109,53
2019,3,서초2동,106,49,109,53
2019,3,서초1동,118,54,109,53
2019,3,난곡동,114,58,109,53
2019,3,미성동,116,54,109,53
2019,3,삼성동,131,58,109,53
2019,3,대학동,101,51,109,53
2019,3,조원동,120,48,109,53
2019,3,난향동,101,50,109,53
2019,3,신림동,104,49,109,53
2019,3,신사동,105,50,109,53
2019,3,서림동,106,54,109,53
2019,3,신원동,106,52,109,53
2019,3,신원동,104,52,106,52
2019,3,서원동,106,54,109,53
2019,3,남현동,111,54,109,53
2019,3,인헌동,105,52,109,53
2019,3,인헌동,105,52,106,52
2019,3,중앙동,104,52,109,53
2019,3,은천동,107,51,109,53
2019,3,청룡동,106,50,109,53
2019,3,청룡동,106,50,106,52
2019,3,낙성대동,92,52,109,53
2019,3,행운동,113,52,109,53
2019,3,행운동,113,52,106,52
2019,3,성현동,100,49,109,53
2019,3,청림동,105,57,109,53
2019,3,청림동,109,56,106,52
2019,3,보라매동,100,52,109,53
2019,3,보라매동,99,52,106,52
2019,3,신대방2동,110,53,109,53
2019,3,신대방2동,109,52,106,52
2019,3,신대방1동,114,51,109,53
2019,3,대방동,109,54,109,53
2019,3,사당5동,109,53,109,53
2019,3,사당5동,110,52,106,52
2019,3,사당4동,112,52,109,53
2019,3,사당3동,107,54,109,53
2019,3,사당3동,106,53,106,52
