"년도" "자치구명" "동" "사업체수" "총종사자수" "총여성종사자수" "농업.임업.및.어업" "농업.임업.및.어업(여성)" "광업" "광업(여성)" "제조업" "제조업(여성)" "전기.가스.증기.및.공기조절.공급업" "전기.가스.증기.및.공기조절.공급업(여성)" "수도.하수.및.폐기물.처리.원료.재생업" "수도.하수.및.폐기물.처리.원료.재생업(여성)" "건설업" "건설업(여성)" "도매.및.소매업" "도매.및.소매업(여성)" "운수.및.창고업" "운수.및.창고업(여성)" "숙박.및.음식점업" "숙박.및.음식점업(여성)" "정보통신업" "정보통신업(여성)" "금융.및.보험업" "금융.및.보험업(여성)" "부동산업" "부동산업(여성)" "전문.과학.및.기술.서비스업" "전문.과학.및.기술.서비스업(여성)" "사업시설.관리.사업.지원.및.임대.서비스업" "사업시설.관리.사업.지원.및.임대.서비스업(여성)" "공공행정.국방.및.사회보장.행정" "공공행정.국방.및.사회보장.행정(여성)" "교육.서비스업" "교육.서비스업(여성)" "보건업.및.사회복지.서비스업" "보건업.및.사회복지.서비스업(여성)" "예술.스포츠.및.여가관련.서비스업" "예술.스포츠.및.여가관련.서비스업(여성)" "협회.및.단체.수리.및.기타.개인.서비스업" "협회.및.단체.수리.및.기타.개인.서비스업(여성)"
"43" "2015" "강북구" "번3동" 866 2833 1189 0 0 0 0 347 171 0 0 0 0 32 6 355 151 694 15 237 134 5 3 13 9 117 43 21 4 48 9 40 9 232 174 279 228 90 36 323 197
"44" "2015" "강북구" "삼각산동" 761 2194 1308 0 0 0 0 59 20 0 0 0 0 12 3 279 160 184 5 291 168 8 3 26 13 126 49 13 7 7 3 48 12 520 368 449 410 33 10 139 77
"45" "2015" "강북구" "삼양동" 1159 3208 1732 0 0 0 0 487 286 0 0 0 0 33 3 534 277 453 26 267 178 9 4 24 13 79 30 14 5 59 56 49 12 449 349 418 345 67 29 266 119
"46" "2015" "강북구" "송중동" 2004 7991 4385 0 0 0 0 578 328 0 0 2 1 129 22 1441 735 309 19 2068 1123 168 107 390 262 172 62 109 63 584 295 148 62 558 398 671 556 183 79 481 273
"47" "2015" "강북구" "송천동" 2188 7090 3720 0 0 0 0 1196 704 0 0 24 3 277 47 1317 650 487 29 953 614 56 35 115 66 199 79 199 122 62 44 232 73 762 518 476 391 83 38 652 307
"48" "2015" "강북구" "수유1동" 1462 5039 2720 0 0 0 0 530 326 0 0 0 0 133 21 986 478 617 19 504 317 5 0 44 20 111 36 31 5 242 206 51 9 658 485 493 401 93 32 541 365
"49" "2015" "강북구" "수유2동" 1357 4510 2399 0 0 0 0 486 260 0 0 50 5 205 35 741 336 263 11 478 290 39 17 101 40 103 31 30 13 698 495 50 10 221 149 476 393 76 29 493 285
"50" "2015" "강북구" "수유3동" 2305 8887 4779 0 0 0 0 551 299 0 0 0 0 173 32 1440 830 276 13 2048 1184 157 53 719 520 196 67 209 77 130 81 1305 553 203 136 634 460 351 188 495 286
"51" "2015" "강북구" "우이동" 996 4027 1523 0 0 0 0 130 51 0 0 0 0 121 7 535 217 1220 40 979 630 14 4 28 14 106 22 21 9 99 58 19 10 119 72 253 202 146 72 237 115
"52" "2015" "강북구" "인수동" 1518 5463 2681 0 0 0 0 430 232 0 0 3 1 233 43 608 254 714 34 534 353 117 17 35 12 98 51 36 12 373 153 110 20 567 398 1156 864 100 36 349 201
"53" "2015" "강서구" "가양1동" 1458 11655 3841 0 0 0 0 464 205 0 0 307 48 1685 298 2782 782 1529 334 653 418 816 189 283 163 461 154 633 122 511 343 16 8 546 289 253 209 134 53 582 226
"54" "2015" "강서구" "가양2동" 652 3460 1764 0 0 0 0 102 31 2 1 0 0 77 16 619 399 167 24 209 141 27 10 43 24 222 58 112 34 321 34 67 46 316 198 726 528 119 53 331 167
"55" "2015" "강서구" "가양3동" 888 6895 2722 0 0 0 0 545 204 0 0 4 0 539 71 1822 781 722 257 219 151 552 110 3 1 206 75 546 168 347 93 433 139 357 265 271 235 53 37 276 135
"56" "2015" "강서구" "공항동" 1885 35952 16393 28 3 0 0 335 112 0 0 66 10 701 104 1691 571 28902 13268 1214 793 65 28 111 48 124 48 84 15 672 284 245 81 571 340 507 421 177 92 459 175
"57" "2015" "강서구" "등촌1동" 1880 15416 6077 0 0 0 0 974 363 0 0 29 6 1091 228 2159 1013 1843 669 1072 655 1088 225 294 151 406 137 2932 994 733 188 373 77 352 248 930 765 194 71 946 287
"58" "2015" "강서구" "등촌2동" 727 3485 1616 0 0 0 0 141 70 0 0 0 0 92 20 696 299 339 12 331 213 50 15 28 13 86 30 143 71 45 24 150 67 709 425 276 216 61 39 338 102
"59" "2015" "강서구" "등촌3동" 2425 20629 10622 0 0 0 0 429 157 0 0 8 1 960 120 3141 1331 1207 297 1978 1168 653 222 871 435 569 202 656 222 5695 3409 77 25 1723 1158 1599 1306 254 124 809 445
"60" "2015" "강서구" "발산1동" 2288 11795 5281 0 0 0 0 298 172 0 0 73 6 275 32 3000 1078 1951 82 1091 642 16 5 365 277 262 92 136 75 299 147 172 69 1913 1174 1192 1049 135 67 617 314
"61" "2015" "강서구" "방화1동" 3549 10126 4479 0 0 0 0 310 142 0 0 0 0 519 137 1433 715 2655 272 1000 637 67 16 86 48 482 168 100 36 682 363 19 11 1025 725 1004 823 161 79 583 307
"62" "2015" "강서구" "방화2동" 2003 11834 4756 0 0 0 0 252 104 47 39 51 3 616 90 2357 1312 4252 821 1508 896 216 69 68 40 211 70 125 49 443 202 161 51 407 243 539 467 124 58 457 242
"63" "2015" "강서구" "방화3동" 913 4577 1919 0 0 0 0 39 20 4 0 57 3 131 20 401 159 1299 80 289 191 53 18 76 42 273 89 344 220 410 262 70 14 496 354 277 244 75 49 283 154
"64" "2015" "강서구" "염창동" 2190 16307 6284 0 0 0 0 827 314 365 30 23 3 1599 206 2657 1007 1705 427 1085 682 2266 726 143 67 955 427 1115 329 463 206 52 16 910 658 1014 776 193 83 935 327
"65" "2015" "강서구" "우장산동" 1623 6689 3583 0 0 0 0 128 74 81 17 1 0 400 45 1140 559 408 43 654 417 74 16 208 133 467 169 112 35 336 158 20 10 897 619 979 811 161 92 623 385
"66" "2015" "강서구" "화곡1동" 3076 10087 4796 0 0 0 0 728 396 1 1 2 0 1229 102 1831 785 531 48 1948 1244 133 54 166 106 382 154 144 39 365 116 73 16 488 388 1021 821 279 124 766 402
"67" "2015" "강서구" "화곡2동" 821 2432 1198 0 0 0 0 137 69 0 0 0 0 133 62 955 362 195 19 119 81 7 3 0 0 42 19 22 5 2 2 15 7 335 267 262 205 42 17 166 80
"68" "2015" "강서구" "화곡3동" 1174 4914 2557 0 0 0 0 180 108 0 0 9 4 284 43 805 521 263 30 706 403 76 23 449 320 164 60 93 31 516 7 42 9 420 327 445 381 115 55 347 235
"69" "2015" "강서구" "화곡4동" 1401 3745 1925 0 0 0 0 275 155 0 0 12 2 128 24 1020 446 271 16 552 338 25 13 52 27 80 39 29 5 19 6 62 14 392 261 356 289 127 71 345 219
"70" "2015" "강서구" "화곡6동" 1818 11841 5868 0 0 0 0 310 163 0 0 13 11 740 54 1591 896 985 75 1732 1014 220 70 879 718 265 87 501 139 817 482 1292 443 811 558 979 797 206 101 500 260
"71" "2015" "강서구" "화곡8동" 1167 3380 1823 0 0 0 0 59 29 0 0 0 0 143 18 786 405 235 10 469 300 169 59 56 32 117 37 76 19 167 46 17 7 101 83 650 579 89 42 246 157
"72" "2015" "강서구" "화곡본동" 1335 4070 2337 0 0 0 0 209 104 0 0 0 0 228 35 679 325 316 23 653 417 24 8 48 26 128 68 62 24 24 12 49 7 468 371 839 727 78 38 265 152
"73" "2015" "관악구" "낙성대동" 1247 9003 3963 0 0 0 0 222 86 0 0 0 0 1468 188 1030 589 569 61 1645 916 312 81 97 53 253 87 727 157 1241 809 73 17 244 176 522 444 248 91 352 208
"74" "2015" "관악구" "난곡동" 918 2474 1253 0 0 0 0 114 74 0 0 0 0 105 8 434 198 261 8 252 156 6 2 43 21 50 18 10 3 7 1 22 11 468 268 332 276 74 33 296 176
"75" "2015" "관악구" "난향동" 398 2058 1094 0 0 0 0 81 52 0 0 0 0 22 3 134 71 247 8 105 75 10 5 22 13 70 18 2 0 657 335 47 8 333 265 191 168 32 15 105 58
"76" "2015" "관악구" "남현동" 913 6397 2673 0 0 0 0 92 55 0 0 0 0 591 86 877 454 95 8 1108 636 178 65 234 164 93 32 765 140 1293 387 76 27 327 224 230 193 110 53 328 149
"77" "2015" "관악구" "대학동" 1724 12777 6837 0 0 0 0 89 41 0 0 0 0 14 0 621 286 388 19 2281 1372 240 79 107 54 219 98 990 471 310 86 38 11 6100 3490 491 416 588 245 301 169
